instance,n_customers,n_vehicles_available,capacity,timeout_s,status,status_name,total_cost,vehicles_used,solve_time_s
R2_10_8.txt,1000,250,1000,2.0,0,SUCCESS,20348.86500787735,19,3.1246346905827522
R2_10_9.txt,1000,250,1000,60.0,0,SUCCESS,35021.31157708168,19,60.5123253390193
R2_10_9.txt,1000,250,1000,10.0,0,SUCCESS,36848.60846042633,19,10.481947004795074
R2_10_9.txt,1000,250,1000,5.0,0,SUCCESS,36766.30450963974,19,5.2274622321128845
R2_10_9.txt,1000,250,1000,2.0,0,SUCCESS,36865.79837703705,19,2.3612568639218807
RC1_10_1.txt,1000,250,200,60.0,0,SUCCESS,48795.12977528572,90,60.520275734364986
RC1_10_1.txt,1000,250,200,10.0,0,SUCCESS,48895.30266499519,91,10.469286490231752
RC1_10_1.txt,1000,250,200,5.0,0,SUCCESS,49228.80361902714,98,5.536604270339012
RC1_10_1.txt,1000,250,200,2.0,0,SUCCESS,50558.30358350277,119,2.579123940318823
RC1_10_10.txt,1000,250,200,60.0,0,SUCCESS,45730.270149707794,90,60.425022296607494
RC1_10_10.txt,1000,250,200,10.0,0,SUCCESS,46982.97795903683,90,10.590314947068691
RC1_10_10.txt,1000,250,200,5.0,0,SUCCESS,47432.54803156853,90,5.467389829456806
RC1_10_10.txt,1000,250,200,2.0,0,SUCCESS,46671.53603553772,91,2.611283402889967
RC1_10_2.txt,1000,250,200,60.0,0,SUCCESS,46444.85894155502,90,60.49342958629131
RC1_10_2.txt,1000,250,200,10.0,0,SUCCESS,47287.90745639801,90,11.60265862941742
RC1_10_2.txt,1000,250,200,5.0,0,SUCCESS,47250.08742070198,91,5.506842233240604
RC1_10_2.txt,1000,250,200,2.0,0,SUCCESS,46704.3276900053,98,2.526981469243765
RC1_10_3.txt,1000,250,200,60.0,0,SUCCESS,44369.4026093483,90,61.99745041877031
RC1_10_3.txt,1000,250,200,10.0,0,SUCCESS,45237.952370762825,90,11.296477798372507
RC1_10_3.txt,1000,250,200,5.0,0,SUCCESS,45345.3795427084,90,5.762045510113239
RC1_10_3.txt,1000,250,200,2.0,0,SUCCESS,45337.1597083807,91,2.912824172526598
RC1_10_4.txt,1000,250,200,60.0,0,SUCCESS,43001.082174539566,90,60.894054122269154
RC1_10_4.txt,1000,250,200,10.0,0,SUCCESS,43717.19638490677,90,10.894204918295145
RC1_10_4.txt,1000,250,200,5.0,0,SUCCESS,44277.64003229141,90,5.576857630163431
RC1_10_4.txt,1000,250,200,2.0,0,SUCCESS,44048.19647085667,90,3.2340198904275894
RC1_10_5.txt,1000,250,200,60.0,0,SUCCESS,47805.383701086044,90,60.447330974042416
RC1_10_5.txt,1000,250,200,10.0,0,SUCCESS,49510.50549197197,90,10.556046016514301
RC1_10_5.txt,1000,250,200,5.0,0,SUCCESS,48712.42467570305,91,5.504145473241806
RC1_10_5.txt,1000,250,200,2.0,0,SUCCESS,48197.87531256676,103,2.895402353256941
RC1_10_6.txt,1000,250,200,60.0,0,SUCCESS,48052.41408324242,90,60.537650015205145
RC1_10_6.txt,1000,250,200,10.0,0,SUCCESS,48943.28617823124,90,10.627076391130686
RC1_10_6.txt,1000,250,200,5.0,0,SUCCESS,48848.53353381157,91,5.429001733660698
RC1_10_6.txt,1000,250,200,2.0,0,SUCCESS,48467.44802546501,103,3.009990442544222
RC1_10_7.txt,1000,250,200,60.0,0,SUCCESS,46801.33684551716,90,60.42376834526658
RC1_10_7.txt,1000,250,200,10.0,0,SUCCESS,48380.10603260994,90,10.624431148171425
RC1_10_7.txt,1000,250,200,5.0,0,SUCCESS,47569.25426888466,91,5.549489267170429
RC1_10_7.txt,1000,250,200,2.0,0,SUCCESS,48004.590601444244,99,2.355714287608862
RC1_10_8.txt,1000,250,200,60.0,0,SUCCESS,46506.230997920036,90,60.73855950310826
RC1_10_8.txt,1000,250,200,10.0,0,SUCCESS,47736.492567777634,90,10.662724781781435
RC1_10_8.txt,1000,250,200,5.0,0,SUCCESS,47979.774209976196,90,5.282321505248547
RC1_10_8.txt,1000,250,200,2.0,0,SUCCESS,46919.38585317135,91,2.769538003951311
RC1_10_9.txt,1000,250,200,60.0,0,SUCCESS,46712.72955870628,90,60.43812085315585
RC1_10_9.txt,1000,250,200,10.0,0,SUCCESS,47804.565514326096,90,10.513304583728313
RC1_10_9.txt,1000,250,200,5.0,0,SUCCESS,47922.67378401756,90,5.405327156186104
RC1_10_9.txt,1000,250,200,2.0,0,SUCCESS,47215.4399330616,91,2.6354532688856125
RC2_10_1.txt,1000,250,1000,60.0,0,SUCCESS,29951.27621805668,24,60.2005499266088
RC2_10_1.txt,1000,250,1000,10.0,0,SUCCESS,30438.583239793777,24,10.251329928636551
RC2_10_1.txt,1000,250,1000,5.0,0,SUCCESS,29950.894691824913,26,5.179410643875599
RC2_10_1.txt,1000,250,1000,2.0,0,SUCCESS,30262.382937431335,30,2.219077233225107
RC2_10_10.txt,1000,250,1000,60.0,0,SUCCESS,24622.223735690117,18,60.40458428859711
RC2_10_10.txt,1000,250,1000,10.0,0,SUCCESS,25865.98712015152,18,10.432749554514885
RC2_10_10.txt,1000,250,1000,5.0,0,SUCCESS,23996.39228129387,19,5.246735326945782
RC2_10_10.txt,1000,250,1000,2.0,0,SUCCESS,23510.173280000687,23,2.3336364962160587
RC2_10_2.txt,1000,250,1000,60.0,0,SUCCESS,25602.65318274498,22,60.30071569979191
RC2_10_2.txt,1000,250,1000,10.0,0,SUCCESS,25612.768416166306,22,10.214104194194078
RC2_10_2.txt,1000,250,1000,5.0,0,SUCCESS,26315.708305120468,27,5.3839536383748055
RC2_10_2.txt,1000,250,1000,2.0,0,SUCCESS,26507.01332473755,29,2.2155205756425858
RC2_10_3.txt,1000,250,1000,60.0,0,SUCCESS,22867.750386595726,18,60.59657111018896
RC2_10_3.txt,1000,250,1000,10.0,0,SUCCESS,21684.79506802559,20,11.151437487453222
RC2_10_3.txt,1000,250,1000,5.0,0,SUCCESS,21797.72795200348,22,5.488916702568531
RC2_10_3.txt,1000,250,1000,2.0,0,SUCCESS,21732.31147456169,25,2.5837347470223904
RC2_10_4.txt,1000,250,1000,60.0,0,SUCCESS,18175.48256933689,18,60.941821582615376
RC2_10_4.txt,1000,250,1000,10.0,0,SUCCESS,18987.94327867031,18,11.162156101316214
RC2_10_4.txt,1000,250,1000,5.0,0,SUCCESS,20156.199921131134,18,5.439685232937336
RC2_10_4.txt,1000,250,1000,2.0,0,SUCCESS,17826.113613963127,21,2.556381244212389
RC2_10_5.txt,1000,250,1000,60.0,0,SUCCESS,28029.347348332405,20,60.26122788339853
RC2_10_5.txt,1000,250,1000,10.0,0,SUCCESS,28504.35858309269,20,10.423173181712627
RC2_10_5.txt,1000,250,1000,5.0,0,SUCCESS,27694.383423686028,22,5.426897253841162
RC2_10_5.txt,1000,250,1000,2.0,0,SUCCESS,27615.040235877037,29,2.2869411446154118
RC2_10_6.txt,1000,250,1000,60.0,0,SUCCESS,29856.30473446846,18,60.203489389270544
RC2_10_6.txt,1000,250,1000,10.0,0,SUCCESS,28078.731110692024,20,10.20535284653306
RC2_10_6.txt,1000,250,1000,5.0,0,SUCCESS,27851.50426542759,23,5.294462241232395
